YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,LocationID,TopicID,QuestionID,StratificationCategoryID1
2014,IA,Iowa,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,Crude Prevalence,2.9,2.3,3.7,Gender,Female,,19,CKD,CKD3_0,GENDER
2014,ID,Idaho,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,31.0,28.2,33.8,Gender,Male,,16,IMM,IMM1_0,GENDER
2015,SD,South Dakota,SEDD; SID,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,"cases per 10,000",Age-adjusted Rate,,,,Race/Ethnicity,Asian or Pacific Islander,,46,COPD,COPD6_2,RACE
2012,DC,District of Columbia,Statewide central cancer registries,Cancer,"Invasive cancer (all sites combined), incidence","per 100,000",Average Annual Crude Rate,528.6,516.8,540.6,Gender,Male,,11,CAN,CAN4_1,GENDER
2015,OH,Ohio,SEDD; SID,Diabetes,Hospitalization with diabetes as a listed diagnosis,,Number,,,,Race/Ethnicity,Hispanic,,39,DIA,DIA9_0,RACE
2017,WA,Washington,PRAMS,Oral Health,Preventive dental care before pregnancy,%,Crude Prevalence,40.5,37.2,43.9,Overall,Overall,,53,ORH,ORH2_2,OVERALL
2018,MT,Montana,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Crude Prevalence,29.0,23.2,35.6,Race/Ethnicity,"Other, non-Hispanic",,30,NPAW,NPAW10_0,RACE
2012,AZ,Arizona,Statewide central cancer registries,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",Average Annual Age-adjusted Rate,0.5,0.5,0.6,Race/Ethnicity,American Indian or Alaska Native,,4,CAN,CAN8_1,RACE
2014,VT,Vermont,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",,Average Annual Number,,,,Race/Ethnicity,Asian or Pacific Islander,,50,CAN,CAN10_1,RACE
2021,NM,New Mexico,BRFSS,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,Crude Prevalence,86.8,78.2,92.4,Race/Ethnicity,"White, non-Hispanic",,35,CVD,CVD10_2,RACE
2016,OH,Ohio,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,"cases per 10,000",Crude Rate,,,,Overall,Overall,,39,COPD,COPD5_2,OVERALL
2018,IA,Iowa,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Crude Rate,,,,Race/Ethnicity,"Black, non-Hispanic",,19,ALC,ALC6_0,RACE
2014,NY,New York,CMS Part A Claims Data,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,Number,4101,,,Gender,Male,,36,OLD,OLD1_0,GENDER
2011,UT,Utah,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,Number,77.0,,,Race/Ethnicity,Hispanic,,49,CVD,CVD1_2,RACE
2013,SC,South Carolina,BRFSS,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,Crude Prevalence,17.6,16.3,18.8,Race/Ethnicity,"White, non-Hispanic",,45,OVC,OVC6_1,RACE
2017,UT,Utah,SEDD; SID,Asthma,Emergency department visit rate for asthma,"cases per 10,000",Age-adjusted Rate,,,,Race/Ethnicity,"White, non-Hispanic",,49,AST,AST2_1,RACE
2020,KS,Kansas,BRFSS,Older Adults,Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,%,Crude Prevalence,,,,Race/Ethnicity,"Other, non-Hispanic",,20,OLD,OLD3_1,RACE
2019,NM,New Mexico,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,,,,Race/Ethnicity,"Black, non-Hispanic",,35,ALC,ALC3_0,RACE
2016,MD,Maryland,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,Crude Prevalence,,,,Race/Ethnicity,Hispanic,,24,TOB,TOB11_2,RACE
2019,DC,District of Columbia,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Crude Prevalence,,,,Gender,Male,,11,AST,AST5_1,GENDER
2015,MT,Montana,Statewide central cancer registries,Cancer,"Invasive cancer of the cervix, incidence","per 100,000",Average Annual Age-adjusted Rate,,,,Race/Ethnicity,Hispanic,,30,CAN,CAN6_1,RACE
2021,CA,California,BRFSS,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,%,Crude Prevalence,27.9,26.5,29.3,Overall,Overall,,6,CVD,CVD6_1,OVERALL
2018,ID,Idaho,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,Number,1490.0,,,Race/Ethnicity,"White, non-Hispanic",,16,DIA,DIA1_1,RACE
2011,OH,Ohio,BRFSS,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,Mean,8.8,8.3,9.3,Gender,Male,,39,ALC,ALC4_0,GENDER
2019,ME,Maine,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Age-adjusted Prevalence,55.1,40.7,68.7,Race/Ethnicity,"Black, non-Hispanic",,23,NPAW,NPAW10_0,RACE
2017,MS,Mississippi,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",,Average Annual Number,5.0,,,Race/Ethnicity,American Indian or Alaska Native,,28,CAN,CAN11_1,RACE
2016,NE,Nebraska,SEDD; SID,Asthma,Emergency department visit rate for asthma,"cases per 10,000",Age-adjusted Rate,,,,Race/Ethnicity,American Indian or Alaska Native,,31,AST,AST2_1,RACE
2021,IL,Illinois,BRFSS,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,17,TOB,TOB2_2,RACE
2016,MN,Minnesota,BRFSS,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,Age-adjusted Mean,5.6,5.5,5.8,Gender,Female,,27,ALC,ALC4_0,GENDER
2010,WA,Washington,NVSS,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",Age-adjusted Rate,101.1,75.0,133.3,Race/Ethnicity,Hispanic,,53,COPD,COPD1_2,RACE
2019,NV,Nevada,BRFSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,%,Crude Prevalence,34.6,31.6,37.7,Race/Ethnicity,"White, non-Hispanic",,32,NPAW,NPAW11_3,RACE
2019,MA,Massachusetts,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,Race/Ethnicity,Hispanic,,25,DIA,DIA7_0,RACE
2018,VA,Virginia,Death Certificate,Cancer,"Cancer of the prostate, mortality","per 100,000",Average Annual Age-adjusted Rate,8.7,6.6,11.2,Race/Ethnicity,Asian or Pacific Islander,,51,CAN,CAN11_2,RACE
2015,NE,Nebraska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,%,Crude Prevalence,29.5,27.8,31.3,Gender,Male,,31,NPAW,NPAW11_3,GENDER
2019,AK,Alaska,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,2,CKD,CKD3_0,RACE
2020,AK,Alaska,NVSS,Overarching Conditions,Premature mortality among adults aged 45-64 years,,Number,478,,,Gender,Female,,2,OVC,OVC5_0,GENDER
2016,OK,Oklahoma,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,Age-adjusted Prevalence,85.2,80.0,89.2,Gender,Female,,40,DIA,DIA13_2,GENDER
2011,NM,New Mexico,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,69.1,55.7,79.9,Race/Ethnicity,"White, non-Hispanic",,35,DIA,DIA6_0,RACE
2011,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,Median,1.2,0.7,1.9,Overall,Overall,,40,NPAW,NPAW5_2,OVERALL
2020,FL,Florida,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,Crude Prevalence,27.7,21.2,35.3,Overall,Overall,,12,DIA,DIA13_1,OVERALL
2018,MD,Maryland,SEDD; SID,Asthma,Hospitalizations for asthma,,Number,60,,,Race/Ethnicity,Asian or Pacific Islander,,24,AST,AST3_1,RACE
2014,AZ,Arizona,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,Crude Prevalence,,,,Race/Ethnicity,"Black, non-Hispanic",,4,DIA,DIA12_2,RACE
2010,WV,West Virginia,CMS Part A Claims Data,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,,,,Race/Ethnicity,Hispanic,,54,OLD,OLD1_0,RACE
2017,NH,New Hampshire,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,61.8,50.5,72.0,Overall,Overall,,33,DIA,DIA7_0,OVERALL
2018,AZ,Arizona,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.5,3.0,4.0,Gender,Male,,4,MTH,MTH1_0,GENDER
2015,MO,Missouri,SEDD; SID,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",Crude Rate,,,,Race/Ethnicity,"White, non-Hispanic",,29,CVD,CVD3_2,RACE
2019,NH,New Hampshire,NVSS,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",Crude Rate,,,,Race/Ethnicity,American Indian or Alaska Native,,33,CVD,CVD1_3,RACE
2017,AL,Alabama,SEDD; SID,Asthma,Emergency department visit rate for asthma,"cases per 10,000",Age-adjusted Rate,,,,Race/Ethnicity,"White, non-Hispanic",,1,AST,AST2_1,RACE
2015,TN,Tennessee,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",Average Annual Crude Rate,239.1,237.2,241.1,Race/Ethnicity,"White, non-Hispanic",,47,CAN,CAN4_2,RACE
2017,AL,Alabama,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Crude Prevalence,13.9,12.7,15.2,Race/Ethnicity,"White, non-Hispanic",,1,DIA,DIA2_1,RACE
2016,NY,New York,SEDD; SID,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",Age-adjusted Rate,89.08,88.21,89.96,Gender,Female,,36,COPD,COPD6_1,GENDER
2014,NE,Nebraska,BRFSS,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,Crude Prevalence,18.2,11.4,27.7,Race/Ethnicity,"Other, non-Hispanic",,31,OVC,OVC1_1,RACE
2015,ID,Idaho,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,13.4,12.0,15.0,Race/Ethnicity,"White, non-Hispanic",,16,TOB,TOB1_2,RACE
2021,NE,Nebraska,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Black, non-Hispanic",,31,COPD,COPD3_0,RACE
2019,CO,Colorado,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Crude Prevalence,18.8,17.4,20.2,Gender,Male,,8,NPAW,NPAW10_0,GENDER
2018,GA,Georgia,SEDD; SID,Asthma,Emergency department visit rate for asthma,"cases per 10,000",Crude Rate,6.64,5.9,7.37,Race/Ethnicity,Asian or Pacific Islander,,13,AST,AST2_1,RACE
2017,MA,Massachusetts,BRFSS,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,Age-adjusted Prevalence,17.6,12.4,24.4,Race/Ethnicity,"Black, non-Hispanic",,25,OVC,OVC6_1,RACE
2020,GA,Georgia,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,Crude Prevalence,36.7,28.6,45.7,Gender,Male,,13,DIA,DIA13_1,GENDER
2014,NH,New Hampshire,BRFSS,Diabetes,Diabetes prevalence among women aged 18-44 years,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,33,DIA,DIA2_2,RACE
2016,PA,Pennsylvania,Statewide central cancer registries,Cancer,"Invasive melanoma, incidence","per 100,000",Average Annual Age-adjusted Rate,24.5,24.1,24.9,Overall,Overall,,42,CAN,CAN9_1,OVERALL
2014,NY,New York,BRFSS,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Other, non-Hispanic",,36,CVD,CVD9_1,RACE
2019,MO,Missouri,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,Age-adjusted Prevalence,65.2,53.1,75.6,Gender,Female,,29,DIA,DIA12_1,GENDER
2017,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,Median,1.8,1.1,2.7,Race/Ethnicity,"Other, non-Hispanic",,37,NPAW,NPAW5_2,RACE
2019,OR,Oregon,BRFSS,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,Crude Prevalence,26.1,23.4,28.9,Race/Ethnicity,"White, non-Hispanic",,41,ART,ART3_0,RACE
2016,NM,New Mexico,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,21.8,12.0,36.2,Race/Ethnicity,"Black, non-Hispanic",,35,TOB,TOB1_2,RACE
2013,KY,Kentucky,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",Age-adjusted Rate,86.9,84.2,89.7,Race/Ethnicity,"White, non-Hispanic",,21,DIA,DIA1_1,RACE
2017,NE,Nebraska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,16.7,15.3,18.2,Gender,Male,,31,TOB,TOB1_2,GENDER
2010,MO,Missouri,CMS Part A Claims Data,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,5.86,5.57,6.15,Gender,Male,,29,OLD,OLD1_0,GENDER
2012,MS,Mississippi,Statewide central cancer registries,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",Average Annual Age-adjusted Rate,43.6,42.2,45.0,Gender,Female,,28,CAN,CAN7_1,GENDER
2018,AR,Arkansas,Statewide central cancer registries,Cancer,"Invasive cancer of the female breast, incidence","per 100,000",Average Annual Age-adjusted Rate,119.9,117.6,122.2,Gender,Female,,5,CAN,CAN5_1,GENDER
2016,MI,Michigan,BRFSS,Older Adults,Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,%,Age-adjusted Prevalence,28.3,16.5,44.1,Race/Ethnicity,"Multiracial, non-Hispanic",,26,OLD,OLD3_1,RACE
2021,ME,Maine,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Crude Prevalence,15.6,14.6,16.7,Overall,Overall,,23,TOB,TOB1_2,OVERALL
2015,MN,Minnesota,NVSS,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",Crude Rate,726.1,658.2,794.0,Race/Ethnicity,"Black, non-Hispanic",,27,OVC,OVC5_0,RACE
2017,NM,New Mexico,SEDD; SID,Cardiovascular Disease,Hospitalization for stroke,"cases per 10,000",Age-adjusted Rate,13.68,9.87,17.5,Race/Ethnicity,Asian or Pacific Islander,,35,CVD,CVD3_1,RACE
2015,VT,Vermont,CMS Part A Claims Data,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Crude Rate,6.55,5.86,7.23,Gender,Female,,50,OLD,OLD1_0,GENDER
2012,DC,District of Columbia,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",Average Annual Age-adjusted Rate,54.5,50.3,58.9,Gender,Male,,11,CAN,CAN8_2,GENDER
2014,RI,Rhode Island,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,Crude Prevalence,8.7,7.8,9.6,Overall,Overall,,44,COPD,COPD2_0_1,OVERALL
2016,IA,Iowa,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,,Number,131.0,,,Race/Ethnicity,Asian or Pacific Islander,,19,COPD,COPD5_2,RACE
2021,CA,California,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Black, non-Hispanic",,6,DIA,DIA5_0,RACE
2016,NY,New York,NVSS,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",Crude Rate,151.1,149.3,152.8,Overall,Overall,,36,CVD,CVD1_3,OVERALL
2018,NY,New York,Statewide central cancer registries,Cancer,"Cancer of the lung and bronchus, incidence",,Average Annual Number,763.0,,,Race/Ethnicity,Asian or Pacific Islander,,36,CAN,CAN8_1,RACE
2020,ND,North Dakota,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,Number,Number,632.0,,,Gender,Female,,38,CVD,CVD1_2,GENDER
2012,WA,Washington,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",Average Annual Age-adjusted Rate,169.9,168.5,171.2,Overall,Overall,,53,CAN,CAN4_2,OVERALL
2019,AR,Arkansas,Statewide central cancer registries,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",Average Annual Age-adjusted Rate,25.3,20.7,30.5,Race/Ethnicity,Hispanic,,5,CAN,CAN7_1,RACE
2017,WV,West Virginia,NVSS,Asthma,Asthma mortality rate,"cases per 1,000,000",Age-adjusted Rate,,,,Race/Ethnicity,Asian or Pacific Islander,,54,AST,AST4_1,RACE
2017,RI,Rhode Island,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,Crude Prevalence,,,,Race/Ethnicity,"Other, non-Hispanic",,44,ART,ART4_0,RACE
2020,NY,New York,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,76.4,73.7,78.9,Overall,Overall,,36,CAN,CAN2_2,OVERALL
2015,PR,Puerto Rico,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,72,AST,AST6_1,RACE
2017,DC,District of Columbia,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,39.3,30.7,48.6,Overall,Overall,,11,COPD,COPD3_0_1,OVERALL
2021,SD,South Dakota,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,Median,1.6,1.0,2.1,Gender,Male,,46,NPAW,NPAW5_2,GENDER
2012,OH,Ohio,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,107.0,,,Race/Ethnicity,Hispanic,,39,CKD,CKD1_0,RACE
2013,OR,Oregon,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Black, non-Hispanic",,41,TOB,TOB11_2,RACE
2012,AK,Alaska,NVSS,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",Age-adjusted Rate,76.2,67.0,85.4,Race/Ethnicity,"White, non-Hispanic",,2,CVD,CVD1_3,RACE
2014,NJ,New Jersey,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,"cases per 10,000",Crude Rate,270.44,268.79,272.09,Overall,Overall,,34,COPD,COPD5_2,OVERALL
2019,KS,Kansas,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,Average Annual Number,1412,,,Overall,Overall,,20,CAN,CAN8_2,OVERALL
2012,ND,North Dakota,Death Certificate,Cancer,"Cancer of the prostate, mortality","per 100,000",Average Annual Crude Rate,22.7,20.5,25.1,Gender,Male,,38,CAN,CAN11_2,GENDER
2018,NE,Nebraska,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,%,Crude Prevalence,74.1,71.1,76.9,Race/Ethnicity,"White, non-Hispanic",,31,RPH,RPH1_0,RACE
2020,GA,Georgia,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,,,,Race/Ethnicity,Hispanic,,13,COPD,COPD3_0,RACE
2014,SD,South Dakota,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence","per 100,000",Average Annual Crude Rate,14.4,13.3,15.7,Race/Ethnicity,"White, non-Hispanic",,46,CAN,CAN10_1,RACE
2014,PA,Pennsylvania,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Crude Prevalence,,,,Race/Ethnicity,Hispanic,,42,ORH,ORH4_1,RACE
2017,MS,Mississippi,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Age-adjusted Prevalence,40.0,31.7,49.0,Overall,Overall,,28,AST,AST5_1,OVERALL
2013,OK,Oklahoma,USRDS,Chronic Kidney Disease,Incidence of treated end-stage renal disease attributed to diabetes,"cases per 1,000,000","Adjusted by age, sex, race and ethnicity",201.6,,,Overall,Overall,,40,CKD,CKD2_2,OVERALL
2011,VT,Vermont,NVSS,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),,Number,139.0,,,Gender,Female,,50,CVD,CVD1_5,GENDER
2015,CT,Connecticut,NVSS,Alcohol,Chronic liver disease mortality,"cases per 100,000",Age-adjusted Rate,11.1,9.6,12.6,Gender,Male,,9,ALC,ALC6_0,GENDER
2016,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",Age-adjusted Rate,131.8,128.1,135.5,Race/Ethnicity,"White, non-Hispanic",,40,CVD,CVD1_3,RACE
2015,DC,District of Columbia,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,76.4,67.5,83.5,Overall,Overall,,11,DIA,DIA6_0,OVERALL
2015,RI,Rhode Island,BRFSS,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,Crude Prevalence,39.7,27.5,53.3,Gender,Male,,44,CVD,CVD9_1,GENDER
2014,US,United States,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",Average Annual Crude Rate,230.6,230.3,230.9,Race/Ethnicity,"White, non-Hispanic",,59,CAN,CAN4_2,RACE
2015,KY,Kentucky,NVSS,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",Age-adjusted Rate,642.7,622.8,662.6,Gender,Female,,21,OVC,OVC5_0,GENDER
2021,NY,New York,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,%,Crude Prevalence,82.3,77.8,86.0,Race/Ethnicity,"Black, non-Hispanic",,36,RPH,RPH1_0,RACE
2012,DC,District of Columbia,BRFSS,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,11,CVD,CVD10_2,RACE
2016,NY,New York,BRFSS,Oral Health,Six or more teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,30.9,23.4,39.6,Race/Ethnicity,Hispanic,,36,ORH,ORH4_2,RACE
2012,PA,Pennsylvania,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,Number,2557.0,,,Race/Ethnicity,"Black, non-Hispanic",,42,CVD,CVD1_2,RACE
2012,UT,Utah,NVSS,Cardiovascular Disease,Mortality from coronary heart disease,,Number,545.0,,,Gender,Female,,49,CVD,CVD1_3,GENDER
2018,DC,District of Columbia,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",Age-adjusted Rate,187.0,176.7,197.3,Overall,Overall,,11,CVD,CVD1_2,OVERALL
2019,LA,Louisiana,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Crude Prevalence,38.4,36.0,40.9,Gender,Female,,22,NPAW,NPAW1_1,GENDER
2016,MS,Mississippi,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,Average Annual Number,20.0,,,Race/Ethnicity,Hispanic,,28,CAN,CAN4_2,RACE
2014,LA,Louisiana,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",Crude Rate,294.2,289.3,299.2,Overall,Overall,,22,CVD,CVD1_1,OVERALL
2013,MD,Maryland,NVSS,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",Age-adjusted Rate,133.9,123.4,144.3,Race/Ethnicity,"Black, non-Hispanic",,24,COPD,COPD1_2,RACE
2012,IL,Illinois,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,,,,Race/Ethnicity,Hispanic,,17,COPD,COPD4_0_1,RACE
2012,UT,Utah,Death Certificate,Cancer,"Melanoma, mortality","per 100,000",Average Annual Crude Rate,3.5,3.1,3.8,Race/Ethnicity,"White, non-Hispanic",,49,CAN,CAN9_2,RACE
2017,LA,Louisiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Age-adjusted Rate,26.7,18.9,36.6,Race/Ethnicity,Hispanic,,22,CKD,CKD1_0,RACE
2017,VA,Virginia,Statewide central cancer registries,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",Average Annual Crude Rate,38.0,37.1,38.8,Gender,Female,,51,CAN,CAN7_1,GENDER
2015,TX,Texas,Death Certificate,Cancer,"Cancer of the female breast, mortality","per 100,000",Average Annual Crude Rate,20.7,20.4,21.1,Overall,Overall,,48,CAN,CAN5_2,OVERALL
2011,DC,District of Columbia,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,Crude Prevalence,32.6,30.0,35.3,Gender,Female,,11,CVD,CVD5_0,GENDER
2013,NC,North Carolina,BRFSS,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,Crude Prevalence,80.5,75.2,84.9,Race/Ethnicity,"White, non-Hispanic",,37,CVD,CVD10_2,RACE
2017,DC,District of Columbia,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,11,DIA,DIA12_2,RACE
